name,air_date,episode,characters
How Poopy Got His Poop Back,October 15 2023,S07E01,
The Jerrick Trap,October 22 2023,S07E02,
Air Force Wong,October 29 2023,S07E03,
That's Amorte,November 5 2023,S07E04,
Unmortricken,November 12 2023,S07E05,
Rickfending Your Mort,November 19 2023,S07E06,
Wet Kuat Amortican Summer,November 26 2023,S07E07,
Rise of the Numbericons: The Movie,December 3 2023,S07E08,
Mort: Ragnarick,December 10 2023,S07E09,
Fear No Mort,December 17 2023,S07E10,
Summer of All Fears,May 25 2025,S08E01,
Valkyrick,June 1 2025,S08E02,
The Rick The Mort & The Ugly,June 8 2025,S08E03,
The Last Temptation of Jerry,June 15 2025,S08E04,
Cryo Mort a Rickver,June 22 2025,S08E05,
The Curicksous Case of Bethjamin Button,June 29 2025,S08E06,
Ricker Than Fiction,July 6 2025,S08E07,
Nomortland,July 13 2025,S08E08,
Morty Daddy,July 20 2025,S08E09,
Hot Rick,July 27 2025,S08E10,
There's Something About Morty,May 24 2026,S09E01,
Ricks Days Seven Nights,May 31 2026,S09E02,
Rick Fu Hustle,June 7 2026,S09E03,
A Ricker Runs Through It,June 14 2026,S09E04,
Jer Bud,June 21 2026,S09E05,
Erickerhead,June 28 2026,S09E06,
